OBJECTID,CSA2010,mort64_11,mort64_12,mort64_13,mort64_14,mort64_15,mort64_16,mort64_17,mort64_18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,134.2819031,129.3908404,102.2676745,126.722988,124.4997777,135.6158293,140.506892,152.5122277,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,89.19382504,96.05488851,71.46941109,94.33962264,92.62435678,93.76786735,96.05488851,90.90909091,37524.9505333862,47882527.7112373
3,Belair-Edison,100.621118,105.5900621,86.54244306,106.0041408,110.1449275,118.0124224,118.8405797,126.2939959,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,145.845786,155.4094441,114.7638972,147.6389719,151.8230723,159.5935445,158.3980873,164.3753736,150987.70363871,176077742.748461
5,Canton,78.8243153,74.81629927,57.44822979,73.48029392,80.16032064,76.15230461,66.8002672,57.44822979,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,95.71865443,95.41284404,79.81651376,97.85932722,101.2232416,101.2232416,107.9510703,111.6207951,39962.5498346887,71541340.306082
7,Cherry Hill,140.2439024,142.6829268,113.4146341,135.3658537,135.3658537,140.2439024,135.3658537,153.6585366,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,97.87626962,107.10988,85.87257618,101.5697138,106.1865189,96.95290859,86.79593721,95.10618652,21705.411630324,21022590.1303212
9,Claremont/Armistead,127.1102284,132.0754717,110.2284012,133.0685204,141.0129096,135.0546177,144.9851043,150.9433962,40104.4159801772,61243774.4204004
10,Clifton-Berea,194.9514563,185.631068,146.0194175,182.5242718,198.0582524,189.5145631,190.2912621,186.407767,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,31.84466019,58.25242718,43.49514563,43.49514563,45.82524272,47.37864078,48.15533981,46.60194175,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,106.8859198,108.9414183,88.38643371,106.8859198,102.7749229,106.8859198,115.1079137,115.1079137,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,113.1964809,112.6099707,89.73607038,111.4369501,119.0615836,127.8592375,135.483871,139.5894428,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,214.4821265,203.4830431,157.6535289,177.8185151,177.8185151,155.8203483,164.9862511,188.8175985,21565.8593945388,20736554.4071934
15,Edmondson Village,120.2082347,120.2082347,95.59867487,124.9408424,115.4756271,128.7269285,131.5664931,124.9408424,21504.5513578719,23563061.0426838
16,Fells Point,77.14123653,82.81338627,60.12478729,71.46908678,66.93136699,65.79693704,61.25921724,61.25921724,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,113.1815045,114.5617667,95.23809524,106.2801932,107.6604555,123.5334714,123.5334714,129.0545204,36886.899781185,37200535.0297002
18,Glen-Fallstaff,43.7105391,76.25060709,63.13744536,55.85235551,70.90820787,84.50704225,91.30645945,98.10587664,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,109.4801223,118.6544343,107.0336391,131.4984709,133.3333333,143.1192661,138.2262997,144.9541284,26454.2692113378,27051213.4555493
20,Greater Govans,102.8295376,102.8295376,84.19599724,116.6321601,120.7729469,118.0124224,124.2236025,126.2939959,22982.1257150065,22698495.7172767
21,Greater Mondawmin,129.8593879,133.9950372,114.1439206,146.4019851,162.1174524,162.1174524,172.0430108,183.6228288,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,33.21678322,33.21678322,29.72027972,33.21678322,34.09090909,32.34265734,32.34265734,34.09090909,39862.7497953315,56688145.179702
23,Greater Rosemont,145.7824535,143.1523577,111.21548,146.1581815,141.6494458,156.3028367,162.6902123,158.1814766,32559.0762212062,42204384.5422658
24,Greenmount East,167.0077773,175.1944331,160.4584527,173.5571019,175.1944331,173.5571019,176.8317642,171.9197708,20797.473457859,19072287.8238042
25,Hamilton,71.61945484,76.42971673,56.65419562,89.25708177,94.60181721,103.6878675,107.9636558,104.7568145,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,116.8831169,118.5064935,97.4025974,125,129.8701299,129.8701299,134.7402597,125,18552.4075815481,10215859.0840198
27,Harford/Echodale,80.46471601,81.7555938,70.13769363,86.91910499,86.05851979,81.7555938,85.1979346,88.20998279,40019.1854001864,65360039.1701278
28,Highlandtown,118.2481752,109.4890511,93.43065693,119.7080292,119.7080292,118.2481752,127.0072993,118.2481752,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,108.6001255,108.6001255,82.23477715,98.5561833,103.5781544,103.5781544,101.0671689,96.67294413,36034.4984469622,63262430.0731008
