FID,CSA2010,bkln12,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,2.39074590064,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,4.19879167265,37524.9505333862,47882527.7112373
3,Belair-Edison,0.21135206289,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,3.24096504643,150987.70363871,176077742.748461
5,Canton,2.79124593943,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,2.17013965596,39962.5498346887,71541340.306082
7,Cherry Hill,2.76301806742,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,0.80609323517,21705.411630324,21022590.1303212
9,Claremont/Armistead,1.30754911568,40104.4159801772,61243774.4204004
10,Clifton-Berea,0.4686507963,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,3.31769265661,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,3.10739517845,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,4.28514275628,21565.8593945388,20736554.4071934
15,Edmondson Village,,21504.5513578719,23563061.0426838
16,Fells Point,3.77079416414,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,0.85957134027,36886.899781185,37200535.0297002
18,Glen-Fallstaff,1.68499597098,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,9.23956957539,26454.2692113378,27051213.4555493
20,Greater Govans,1.57080578023,22982.1257150065,22698495.7172767
21,Greater Mondawmin,,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,6.2828352701,39862.7497953315,56688145.179702
23,Greater Rosemont,,32559.0762212062,42204384.5422658
24,Greenmount East,2.27991381397,20797.473457859,19072287.8238042
25,Hamilton,2.60137148583,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,4.97988243654,18552.4075815481,10215859.0840198
27,Harford/Echodale,,40019.1854001864,65360039.1701278
28,Highlandtown,2.56354265326,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,3.52283816273,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,2.81000428454,43415.0595477941,24995836.2620936
31,Lauraville,2.54356440649,34419.6765281197,49665744.2382935
32,Loch Raven,,29314.3346718106,44147812.3259686
33,Madison/East End,1.5629064498,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,3.07391127865,43152.6256992199,62441489.2397897
35,Midtown,8.36453625192,25020.0969697781,23823949.929494
36,Midway/Coldstream,0.33015807132,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,2.34486027895,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,3.66095492274,42904.2221443837,74923987.6939622
40,Northwood,3.20621278125,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,4.90402933941,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,3.23498394841,47825.8629265765,89894372.2114828
43,Patterson Park North & East,0.52041366669,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,4.33805168785,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,2.0451159629,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,1.13141647125,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,0.54938520747,20987.1433066415,23672092.8680536
48,South Baltimore,1.62260593255,68440.0258267645,46353935.42529
49,Southeastern,3.45580368332,102291.480547452,111251478.472831
50,Southern Park Heights,2.01025473428,24052.2213722085,27876227.5906738
51,Southwest Baltimore,0.75335809428,28355.5635813649,37766068.8367913
52,The Waverlies,2.17295992018,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,0.72665937947,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,0.48309950714,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,0.17681550455,42573.1244161893,45494092.9497963
