FID,CSA2010,farms10,farms11,farms12,farms13,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,86.0523824550331,86.08,79.34,87.7876763177431,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,76.2645914396887,77.78,69.58,79.129923574368,37524.9505333862,47882527.7112373
3,Belair-Edison,85.5397148676171,84.39,78.76,86.0135733254647,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,85.7758620689655,88.49,78.45,90.4589371980676,150987.70363871,176077742.748461
5,Canton,73.5449735449735,70.99,61.81,67.7248677248677,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,80.5096232041204,80.89,73.13,82.5325192460844,39962.5498346887,71541340.306082
7,Cherry Hill,91.2512218963832,92.33,88.52,94.0845070422535,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,79.5520934761441,75.69,68.12,75.296442687747,21705.411630324,21022590.1303212
9,Claremont/Armistead,81.8538884524745,86.62,81.03,88.9301175015461,40104.4159801772,61243774.4204004
10,Clifton-Berea,89.9011602922217,91.94,82.88,92.972972972973,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,56.441717791411,63.08,56.76,64.9253731343284,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,81.3953488372093,82,72.26,85.5805243445693,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,78.5868392664509,79.2,73.33,83.1428571428571,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,84.4444444444444,86.6,76.21,86.2745098039216,21565.8593945388,20736554.4071934
15,Edmondson Village,85.9961807765754,84.01,79.37,87.5176304654443,21504.5513578719,23563061.0426838
16,Fells Point,73.8341968911917,75.49,71.6,75.886524822695,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,83.9328537170264,84.24,76.42,86.0849056603774,36886.899781185,37200535.0297002
18,Glen-Fallstaff,71.5267175572519,75.87,69.27,77.4925373134328,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,84.2479674796748,83.09,77.48,83.5294117647059,26454.2692113378,27051213.4555493
20,Greater Govans,81.7302219692658,82.29,75.48,85.6280855732309,22982.1257150065,22698495.7172767
21,Greater Mondawmin,84.1334894613583,83.75,76.89,86.1309138042774,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,22.6865671641791,14.99,13.65,13.2762312633833,39862.7497953315,56688145.179702
23,Greater Rosemont,88.9031595170819,88.76,82.21,91.3054762522709,32559.0762212062,42204384.5422658
24,Greenmount East,90.1960784313726,89.45,82.63,92.2789539227895,20797.473457859,19072287.8238042
